# Pathway	SSM01_Abundance	SSM02_Abundance	SSM03_Abundance	SSM04_Abundance	SSM05_Abundance	SSM06_Abundance	SSM07_Abundance	SSM08_Abundance	SSM09_Abundance	SSM10_Abundance	SSM11_Abundance	SSM12_Abundance	SSM13_Abundance	SSM14_Abundance	SSM15_Abundance	SSM16_Abundance	SSM17_Abundance	SSM18_Abundance	SSM19_Abundance	SSM20_Abundance	SSM21_Abundance	SSM22_Abundance	SSM23_Abundance	SSM24_Abundance	SSM25_Abundance	SSM26_Abundance	SSM27_Abundance	SSM28_Abundance	SSM29_Abundance	SSM30_Abundance	SSM31_Abundance	SSM32_Abundance	SSM33_Abundance	SSM34_Abundance	SSM35_Abundance	SSM36_Abundance	SSM37_Abundance	SSM38_Abundance	SSM39_Abundance	SSM40_Abundance	SSM41_Abundance
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	0	0.0589775	0.0227049	0.0349699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00677628	0.00463698	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0.00228006	0	0	0	0	0	0.00221175	0	0	0	0	0.00805733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00831536	0	0.00319538	0
UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00869584	0	0.00658899	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0.00636079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0.00425903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	0.000387052	0	0	0	0	0.00175025	0	0	0	0	0	0.00185219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0.0136318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0.00269243	0	0	0	0	0	0.0268207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0165446	0	0.00384507	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0.0012889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0.00237422	0	0	0.0111787	0.0565117	0	0.023116	0	0	0	0	0.00704582	0	0	0.00906065	0.0127495	0	0	0	0	0	0	0	0	0	0	0.0200409	0	0.0155203	0.0941248	0	0	0	0	0	0	0	0.046693	0	0.0909665	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	0.00601715	0	0	0.00712612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378357	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0.016661	0.00317828	0	0	0	0.0030585	0	0	0	0	0	0.00677038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00707437	0	0	0	0	0	0	0.0652199	0	0.0321119	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0.00139562	0.0123969	0	0	0	0	0.00171568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0.00190328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00360815	0	0.0181579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	0.00611712	0	0	0	0	0	0	0	0	0	0	0.00178621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030922	0	0	0	0	0	0	0	0.0269767	0	0.0186783	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	0	0.0168856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	0.000506068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercorirosoris	0.000159505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	0.0100189	0	0.00645855	0	0	0.00174394	0.0324233	0	0	0	0	0	0	0	0	0	0	0	0	0.00919175	0	0.0568124	0	0	0	0	0	0	0	0	0	0	0	0.00116387	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.00516916	0	0	0.0134884	0	0.00375596	0	0	0	0	0	0.00125081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283831	0	0	0	0	0	0	0.0382852	0	0.0133448	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0.0307727	0	0.0119678	0.0278684	0	0.0261038	0.0712401	0	0	0	0	0.0156094	0	0.000754682	0.0227577	0.0389482	0	0	0	0.0342112	0	0.0462644	0	0	0	0	0.0503205	0	0.0936373	0	0	0	0	0.0114566	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0.0172556	0	0.0067982	0.00814893	0.0712025	0.00486842	0.051028	0	0	0	0	0.00628878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134785	0	0.0302284	0.0140956	0	0	0	0	0	0	0	0.0108637	0	0.0131466	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0.0034717	0.0124885	0	0.0108412	0	0	0	0	0	0	0	0	0	0	0	0	0.0118582	0	0.008694	0	0	0	0	0.0139992	0	0	0	0	0	0	0	0	0	0	0.0117736	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0.0737449	0	0.126311	0	0	0	0	0	0.121765	0	0	0	0	0	0	0	0.0578523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	0	0	0	0.00384217	0	0	0	0	0	0	0.0178464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	0	0	0.000277626	0	0	0	0	0	0	0	0.000137473	0	0	0	0	0	0	0	0	0.00113907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	0	0	0	0	0	0	0	0.00319023	0	0	0	0	0	0	0	0	0.00391854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101356	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00956515	0	0	0.036774	0	0	0.0101542	0	0	0	0	0	0.0233284	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0.0357514	0.00468885	0	0.0207738	0	0.007628	0	0	0	0	0	0.0639222	0	0.00660591	0	0	0	0.000236974	0	0.0454959	0	0.00356933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294726	0	0.00187501	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00678889	0	0	0	0	0	0.00145021	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	0	0	0	0.00313318	0	0	0	0	0	0.00250725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253189	0	0.0238203	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_coccoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000714465	0
UNINTEGRATED|g__Blautia.s__Blautia_hansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00223316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_hydrogenotrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104207	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_obeum	0.00556304	0.00801489	0	0.00652955	0	0	0	0	0	0	0	0.00391102	0	0	0	0	0	0	0	0.00268308	0.00918912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_producta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	0	0	0	0	0	0	0	0	0	0	0	0.000578117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	0.00104158	0.00536305	0	0.00266485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00878447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	0.0172655	0.0307911	0	0	0.00836385	0	0	0	0	0	0	0	0	0	0	0	0.0129657	0.00782878	0.0073472	0	0	0	0.0143229	0	0	0	0	0	0	0.003909	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0.00832956	0.0053845	0	0	0	0.0052342	0	0	0	0	0	0.00358728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00796976	0	0.00668578	0	0.00201808	0	0	0	0	0	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_amalonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_braakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0098299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_portucalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00210295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_youngae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridioides.s__Clostridioides_difficile	0	0.00331037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00929899	0	0	0	0	0.00444113	0	0	0.00770354	0.0133092	0.0212103	0	0.00703354	0	0	0.0399701	0	0.0388636	0.0153724	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AF36_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0	0	0	0.0244419	0	0	0	0	0	0	0	0.00778338	0	0	0	0	0	0	0	0.0185272	0	0.0101481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_intestinalis	0.00584538	0.00939424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_sp_An7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000391674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Coprobacillus.s__Coprobacillus_cateniformis	0	0	0	0	0	0	0	0	0	0	0	0.00357837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0.00896353	0.00387557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211252	0	0.0103361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dialister.s__Dialister_invisus	0	0	0	0.00411834	0	0.00544925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112129	0	0	0	0.00461246	0	0	0	0.00579567	0	0	0
UNINTEGRATED|g__Dialister.s__Dialister_succinatiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00237993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0.00142992	0	0	0	0	0	0.00211857	0	0	0.000794442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0.00440887	0	0	0	0	0	0	0	0	0	0	0.00237286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	0.000624008	0	0	0	0	0.0016824	0	0	0	0	0	0	0	0	0.00335264	0.000756175	0	0.00553486	0	0	0	0	0	0	0	0	0.00389797	0	0	0.00430734	0	0	0	0	0.0107851	0	0	0	0	0.000460134	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enorma.s__Collinsella_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enorma.s__Enorma_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_bugandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170025	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438075	0	0	0	0	0	0	0.000911127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409908	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526546	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_roggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277859	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00226031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188342	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818044	0	0.0612624
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128499	0	0	0	0	0.000555521	0	0	0	0	0	0	0	0	0	0.0301563	0	0	0	0	0	0.464374	0	0.291884
UNINTEGRATED|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00886282	0	0
UNINTEGRATED|g__Enteroscipio.s__Enteroscipio_rubneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183034	0.00442841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0.000328905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00239183	0	0	0	0	0.000541397	0	0	0.00244924	0	0.00840556	0	0.000338101	0	0	0.0146378	0	0.012153	0.00985426	0	0	0	0	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_spiroforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178041	0	0	0	0	0	0	0	0	0	0.0107565	0	0	0	0	0.00137028	0	0.000764306	0	0	0	0	0.00224497	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	0.00180967	0.00262441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00412215	0	0	0	0	0	0	0.00311026	0	0	0	0.126143	0	0	0	0	0	0.00779238	0.148801	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0.20168	0	0.0181316	0.0192219	0.0301956	0.00130853	0	0	0	0	0.010354	0	0.0868811	0	0	0	0	0	0	0.00872442	0	0	0	0	0	0	0	0	0.0294968	0	0	0.00575867	0	0	0	0.0173878	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	0	0.00244591	0	0.000938391	0.00101774	0.000815783	0	0	0	0	0	0	0	0.001627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000711336	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0.00326113	0	0	0.00209626	0	0	0	0	0	0	0	0.00017857	0	0	0.00390396	0	0	0	0	0	0.0281668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	0.00221198	0.00103879	0	0	0.00176215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AM18_10LB_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0921067	0.0257692	0	0.0694148	0	0.0251863	0.00898251	0	0	0	0	0.0468016	0	0	0	0.0106917	0	0	0	0.0659947	0.0451039	0.0190768	0	0	0	0	0	0	0	0	0	0	0.0198897	0	0	0	0	0.0321393	0	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	0	0	0	0	0	0.00175296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	0.0215553	0.0285151	0	0.00687003	0.0323822	0.0120287	0.00914187	0	0	0	0	0.0169993	0	0	0.0612279	0.0243777	0.123466	0.219403	0.28854	0	0	0.0547978	0.166375	0.330725	0	0	0.110465	0	0.122087	0.0743335	0.117066	0	0.0881349	0.0279925	0.0119672	0	0	0.129771	0	0.31724	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_sp_An10	0	0	0	0.0036778	0.00296025	0	0	0	0	0	0	0	0	0.00161361	0	0.00332251	0.0172043	0.000210384	0	0	0	0	0	0	0	0.0175682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_sp_An306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013672	0	0.282349	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0.00815855	0.00286741	0	0.0115011	0	0.00462883	0	0	0	0	0	0.00290651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00759975	0	0	0	0	0	0	0	0	0	0
