# Pathway	SSM01_Abundance	SSM02_Abundance	SSM03_Abundance	SSM04_Abundance	SSM05_Abundance	SSM06_Abundance	SSM07_Abundance	SSM08_Abundance	SSM09_Abundance	SSM10_Abundance	SSM11_Abundance	SSM12_Abundance	SSM13_Abundance	SSM14_Abundance	SSM15_Abundance	SSM16_Abundance	SSM17_Abundance	SSM18_Abundance	SSM19_Abundance	SSM20_Abundance	SSM21_Abundance	SSM22_Abundance	SSM23_Abundance	SSM24_Abundance	SSM25_Abundance	SSM26_Abundance	SSM27_Abundance	SSM28_Abundance	SSM29_Abundance	SSM30_Abundance	SSM31_Abundance	SSM32_Abundance	SSM33_Abundance	SSM34_Abundance	SSM35_Abundance	SSM36_Abundance	SSM37_Abundance	SSM38_Abundance	SSM39_Abundance	SSM40_Abundance	SSM41_Abundance
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	7.49524e-05	0.000193333	3.08475e-05	3.78494e-05	3.06933e-05	6.7027e-05	0.000359711	0	0	1.41322e-05	7.73129e-05	6.47144e-05	0	0.000148399	1.77538e-05	3.28027e-05	0	1.92539e-05	4.50353e-05	6.26067e-05	4.21589e-05	0.000224092	0	0	0	0	6.71547e-05	0	8.26593e-05	0.000118226	2.16926e-05	0	0.000141339	0	0	0	0	0.000162793	0	0.000153067	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00051247	0.000561492	0.000201986	0.000448828	0.000534133	0.000325392	0.000203885	0.000324764	0	0.000408839	0.000376583	0.000459841	0.000651387	0.000354157	0.000366111	0.000320856	0.000477794	0.000427998	0.000334448	0.000463169	0.000431054	0.000422022	0.000341382	0.000519235	0.000362961	0.000643281	0.000550813	0.00055555	0.000426348	0.000286673	0.000440424	0	0.000406985	0.000613567	0.00030284	0	0.000260772	0.000313102	0	0.00031687	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000516588	0.00057329	4.29595e-05	0.000447611	0.000331352	0.000333674	0.000193564	0.000319205	0	0.000447021	0.000412005	0.000459189	0.000682573	0.000366965	0.000396752	0.000368746	0.000521338	0.00048385	0.000360594	0.000460443	0.000426256	0.000401182	0.000364153	0.000559219	0.000428767	0.000687946	0.000579862	0.000684625	0.000431889	0.000292852	0.00044183	0	0.000441091	0.000360603	0.00032785	0	0.000235326	0.000307769	0	0.000342557	0
ARO-PWY: chorismate biosynthesis I	0.000552917	0.000411145	0.000231539	0.000496197	0.000559693	0.000398781	0.000432432	0.000361435	0	0.000398703	0.000397365	0.000538956	0.000724179	0.000381078	0.000325787	0.000327479	0.00037236	0.000422929	0.000434219	0.000535417	0.000401758	0.000455017	0.000559069	0.000458212	0.000469552	0.000527005	0.000461421	0.000729933	0.000452373	0.00030631	0.000451856	0	0.000511649	0.000666696	0.000499742	2.79173e-05	0.000154362	0.000395765	0.000171599	0.000394706	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.000163397	0.00024988	9.83009e-05	0.000165902	8.12824e-05	9.47283e-05	0.000215579	0	0	0.000279809	0.000306727	0.00014805	0.000278021	0.000350527	8.94771e-05	8.00993e-05	0.00010358	0.00021375	0.000230146	0.000110198	0.000189592	0.000135216	0.00012767	0.000256369	0	0.00032031	0.000139711	0.000156867	0.000134384	0.000152175	8.26114e-05	0	9.21878e-05	9.18899e-05	6.90774e-05	0	0.000200061	0.000235763	0	0.000244185	0
AST-PWY: L-arginine degradation II (AST pathway)	0	7.79149e-05	0	8.32865e-06	9.63925e-06	8.18974e-06	0	0	0	0.000219043	0.000182931	3.62875e-06	0	0.000293624	0	0	0	0	0	0	9.78577e-05	0	0	0	0	0	0	0	0	1.34077e-05	0	0	0	0	0	0	0.00020204	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.000119152	0.000129408	0.000166045	0.000111361	0.000143295	0.000145038	0.000143835	0	0	0.000381575	0.000256443	0.000112008	0	0.000276049	7.93892e-05	9.4937e-05	0	0	0	0.000110781	0.000188606	0.000142806	0	0	0	0	0.00011796	0	0.000248955	0.000122445	0	0	2.5494e-05	0.00012853	0	0	0.000244177	5.54152e-05	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.000404366	0.000637451	0.000212806	0.000502266	0.000231816	0.000443455	0.000171579	0.000417509	0	0.000426518	0.000416705	0.000500029	0.000822018	0.000394088	0.00028562	0.000336104	0.00038783	0.000369281	0.000404195	0.000424486	0.00046053	0.00044426	0.000697604	0.000492187	0.000317923	0.000700479	0.000495542	0.000694653	0.00044116	0.000328085	0.000545228	0	0.000429231	0.000233217	0.000390864	0	0.000275036	0.00042558	0	0.000427599	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000317715	0.000463672	9.77567e-05	0.000339015	0.000231299	0.000248007	0.00032726	0.000131062	0	0.000371566	0.000383684	0.000272355	4.11409e-05	0.000497538	0.000267053	0.000263554	0.000308196	0.000491775	0.000476742	0.00017428	0.000477446	0.000269536	0.000686189	0.00064596	0.000795908	0.000636973	0.000363522	0.000741298	0.000301411	0.0003168	0.000438062	0	0.000452926	0.000122168	0.000389545	3.21889e-05	0.00038362	0.000324196	0.000150169	0.000429399	0
CARNMET-PWY: L-carnitine degradation I	0	1.89388e-05	0	2.84846e-06	1.0596e-06	2.61783e-06	0	0	0	0	0	0	0	1.33823e-05	0	0	0	0	0	0	4.59722e-05	0	0	0	0	0	0	0	0	6.52318e-06	0	0	0	0	0	0	0	0	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	5.52685e-05	1.41058e-05	0	0	9.54086e-05	0	0	0	7.01345e-06	0	0	3.05541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	3.83484e-05	4.84022e-05	0	0	3.92337e-05	3.56792e-05	0	0	0	0	0	1.77505e-05	0	6.46924e-06	0	7.04152e-05	4.79678e-05	7.26352e-05	0	2.15917e-05	3.04807e-05	5.07379e-05	0	0.000124592	0	0	0	0	0	7.81292e-05	4.32227e-05	0	6.24122e-05	0	0	0	0	5.37123e-05	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0.000187419	0.000262852	0.000207236	0.000103183	0.000457601	9.39877e-05	0.000273541	0	0	2.10197e-05	0.000111918	9.24843e-05	0	0.000187242	8.45615e-05	5.12179e-05	0.000162205	0.000353187	0.00041149	6.6567e-05	3.9004e-05	0.000254572	0.000215506	0.000326294	0	0	0.000325614	0	0.000321756	0.000152289	0.000222122	0	0.000259843	0.000553523	0	0	0	0.000326052	5.62665e-05	0.000417842	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.000476634	0.000441703	0.000274067	0.000462038	0.000558948	0.000375295	0.000278838	0	0	0.000218475	0.000214865	0.000432444	0.000215784	0.000246934	0.000260711	0.000218149	0.000361466	0.000384338	0.000372462	0.000438036	0.000315617	0.000378446	0.000347118	0.000491258	0.000482242	0.000523256	0.000410498	0.000676245	0.000442277	0.000284179	0.000433637	0.000317902	0.000347979	0.000620362	0.000370544	0.000404456	9.57766e-05	0.000383345	0.000134121	0.000374446	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.000437002	0.000426737	0.000383161	0.000444952	0.000622646	0.000419356	0.000499802	0.00034326	0	0.000344972	0.00035006	0.000402696	0.000708082	0.000248404	0.000258323	0.00029056	0.000320842	0.000349698	0.000363897	0.000406173	0.000293406	0.000345728	0.000297891	0.000449891	0.000462595	0.000525255	0.000478935	0.00070818	0.000540824	0.00026099	0.000384319	0.00075547	0.000324779	0.000616467	0.000342378	0.000444005	0.000148219	0.000345865	0.000180138	0.000328064	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.000209494	0.000143524	0	0.000170583	4.30714e-05	9.54594e-05	5.28965e-05	0	0	0.000195975	0.000146906	0.000122829	0	0.000235398	9.47239e-05	6.16676e-05	0.000161167	0.000217247	0.000349737	0.000130001	0.000212724	0.000119252	0.000151555	0.000321814	0	9.22012e-05	0.000147023	0	0.000170467	6.91357e-05	0.000156784	0	0.000128073	3.78376e-05	3.74401e-05	0	0	0.000180989	0	0.0002412	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.000132505	0.000188354	3.72303e-05	7.03918e-05	6.03478e-05	7.49765e-05	5.97333e-05	0	0	0.000244871	0.000215687	8.24846e-05	0	0.000201801	6.12607e-05	2.0372e-05	6.71376e-05	0.000104719	0.00018509	8.56674e-05	9.00989e-05	6.43821e-05	0.000103162	0.000196188	0	0	0.000116022	0	0.000126735	0.000128059	7.65568e-05	0	0.000138992	0	0	0	0.000121076	0.000164816	0.000189958	0.000176063	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.000487475	0.000386307	0.000243934	0.000350643	0.000500141	0.000362735	0.000396198	0.000138548	0	0.000413698	0.000406929	0.000441126	0.000792783	0.000374684	0.000291282	0.000312852	0.000278962	0.000391574	0.000398818	0.000360371	0.000397295	0.000366533	0.000305105	0.000371367	0.00045464	0.000506267	0.000401759	0.000597798	0.000451294	0.000264131	0.000290263	0	0.000396195	0.000509748	0.000391849	0	0.000160946	0.000381722	0.000151419	0.000351952	0
CRNFORCAT-PWY: creatinine degradation I	0	0	0	4.71011e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01604e-05	0	0	3.61713e-05	1.43352e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.000107735	0.000233674	0	0.000195476	6.0546e-05	0.000200192	3.80647e-05	0	0	0.000330092	0.000291291	0.000306766	0.000294584	0.000390672	0	0	0	5.0108e-05	0	0.00019916	0.00027662	2.97268e-05	1.36189e-05	0.000106224	0	0.000536125	3.19217e-05	1.5157e-05	0	0.000136686	5.11576e-05	0	0.000207577	0	0	0	0.000211205	0.000163568	0	2.07594e-05	0
DARABCATK12-PWY: D-arabinose degradation I	0	8.49836e-06	0	0	6.31529e-07	0	0	0	0	0	0	0	0	6.81162e-06	0	0	0	0	0	0	3.34747e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0.000286414	0.000312887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0.000123071	0	0	2.26291e-05	3.18558e-05	0	0	0	0	0	0	0	0.000312052	0	0	0	0	0	0	0.000223059	0	0	0	0	0	0	0	0	3.10328e-05	0	0	0	0	0	0	0.000191965	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.000424809	0.000419759	0.00033495	0.000385608	0.000953066	0.000367712	0.000431278	0.000423237	0	0.000390329	0.000404973	0.000394573	0.000643024	0.000239141	0.000296718	0.000330118	0.000134606	0.000206024	0.000261771	0.000484333	0.000364125	0.000440981	0.000777204	0.000331209	0.000864627	0.000141491	0.000461091	0.000280534	0.000626815	0.000387294	0.000435003	0	0.000343858	0.000835887	0.000515706	0	0	0.000491036	0.000289692	0.000216863	0
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	2.95885e-05	0	1.5105e-06	0	0	0	0	0	0	0	0	0	0.000147519	0	0	0	0	0	0	9.75338e-05	0	0	0	0	0	0	0	0	8.09422e-06	0	0	0	0	0	0	0.000105234	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0.000210541	0	2.9855e-05	2.40015e-05	2.39744e-05	0	0	0	0.000726327	0.000665004	8.9323e-06	0	0.000426692	0	0	0	0	0	0	0.000191563	0	0	0	0	0	0	0	0	4.50507e-05	0	0	0	0	0	0	0.000332629	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.000123953	0.000130765	0.000228643	0.000168513	0.000467352	0.000177314	0.000134504	0	0	0.000556949	0.000526899	0.000193559	4.80463e-05	0.000319394	9.01538e-05	0.000112192	0	0	0	0.000127822	0.000277018	0.000135088	0	0	0	0	0.000123343	0	0.000271187	0.000153763	3.05767e-05	0	3.029e-05	0.000458922	0	0	0.000248814	5.61769e-05	6.96034e-05	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	5.00832e-05	0	0	2.35738e-05	0	0	0	0	0	0	0	5.6736e-05	0	9.84982e-06	0	0	0	0	0	4.85095e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62849e-05	0	0	0
FERMENTATION-PWY: mixed acid fermentation	0.000127284	0.000146299	5.62178e-05	5.66008e-05	6.32821e-05	0.000128585	0	0	0	0	5.93895e-05	0.000198714	0	0.000269116	9.89721e-05	8.47825e-05	5.66284e-05	2.94022e-06	0	0	0.000236109	7.92674e-05	0.00024613	0.00013795	0	1.38723e-05	6.75218e-05	0	9.60627e-05	0.000215608	0.000196754	0	0.000188823	8.97998e-05	0.000190107	0	0.000287502	3.41047e-05	0	5.39085e-05	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	6.81255e-05	0	8.15639e-06	2.33934e-05	1.1377e-05	0	0	0	0.000205122	0.000114012	5.95839e-06	0.000100651	0.000111537	0	0	0	0	0	0	3.20075e-05	0	0	0	0	0	0	0	0	3.27375e-05	0	0	6.02914e-07	0	0	0	0	0	0	2.51712e-05	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	1.8232e-05	8.97703e-05	0	2.57917e-05	2.73318e-05	2.64206e-05	0	0	0	0	0	2.85989e-05	0	0.000232556	2.05246e-05	2.20732e-05	1.20815e-05	0	0	0	0.00017526	0	0	0	0	0	1.93291e-05	0	0	6.34328e-05	6.16794e-05	0	7.41002e-06	0	0	0	0	5.29395e-05	0	1.81917e-05	0
FUCCAT-PWY: fucose degradation	1.09659e-05	8.89231e-05	0	3.38376e-05	2.2465e-05	2.53906e-05	0	0	0	0	0	3.01641e-05	0	0.000216312	3.08622e-05	4.74047e-05	6.54332e-06	0	0	0	0.000137487	5.16867e-05	0	0	0	8.67792e-06	1.01997e-05	0	0	4.91885e-05	0.000144715	0	0.000109695	0	7.20881e-05	0	0.000146591	3.25669e-05	0	9.48109e-06	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	3.5676e-05	0.00011016	0	5.38604e-05	1.15426e-05	3.46856e-05	3.49352e-05	0	0	0	0	6.97984e-05	0	6.01982e-05	0	2.02003e-05	0	0	0	0	9.29764e-05	3.34166e-05	0	5.04747e-05	0	0	3.16436e-05	0	0	1.34634e-05	0	0	6.02805e-05	3.06552e-05	0	0	0	7.13605e-05	0	3.00561e-05	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0.000230028	0	1.94101e-05	5.06298e-05	5.51911e-05	0	0	0	0	0	4.19943e-05	0	0.000318398	9.75658e-06	0	0	0.00023278	0.000255366	0	0.000113478	4.51083e-05	0.000136361	1.2219e-05	0	0	9.66614e-05	3.50179e-05	6.84682e-05	5.57596e-05	0.000111581	0	9.7707e-05	1.17812e-05	2.63537e-05	0	0.000181759	2.70217e-05	0	1.44185e-05	0
GALACTITOLCAT-PWY: galactitol degradation	1.63976e-05	0.000100887	6.25332e-05	1.88311e-05	4.81526e-06	1.39761e-05	0	0	0	0	0	1.36876e-05	2.0619e-05	1.37198e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91442e-05	0	0	2.44651e-06	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	0.000128533	0.000131039	5.43655e-05	0.000110823	2.35023e-05	3.51665e-05	9.57756e-05	0	0	0	0	0.000105898	0	8.23889e-05	0	3.24752e-05	0	9.01262e-05	5.41223e-05	8.54635e-05	0.000157525	7.453e-05	0.000155786	0.000128726	0.000114226	9.83404e-06	0.000188173	0	9.05953e-05	3.65995e-05	0.000103353	0	0.000146968	6.35309e-05	4.04832e-05	0	0.000104623	6.5012e-05	5.55402e-05	3.34444e-05	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.000154043	0.000251674	8.14137e-05	8.72867e-05	5.20123e-05	7.72098e-05	0.000142317	0	0	0	0	0.000119516	5.03272e-05	0.000214943	3.3755e-05	7.43785e-05	8.47763e-05	0.000102921	0.000118428	0.000117261	0.000187677	0.000152267	0.000150742	0.000151452	0.000348038	6.60805e-05	0.00019118	1.29754e-05	9.94158e-05	9.87072e-05	0.000167792	0	0.000111901	0	0.000127525	0	0	0.000124226	0	8.63606e-05	0
GLUCARDEG-PWY: D-glucarate degradation I	0	9.35794e-05	0	1.58354e-05	2.75698e-05	3.1876e-05	0	0	0	0	0	7.86923e-06	0	0.000238652	0	0	0	0.000194526	0.000129151	0	0.000103153	4.69494e-06	0	1.16472e-05	0	0	0	3.10208e-05	0	2.69744e-05	0	0	2.27692e-06	0	9.28367e-06	0	0.000151487	1.53724e-05	0	1.20966e-05	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0.000230028	0	1.94101e-05	5.06298e-05	5.51911e-05	0	0	0	0	0	4.19943e-05	0	0.000318398	9.75658e-06	0	0	0.00023278	0.000255366	0	0.000113478	4.51083e-05	0.000136361	1.2219e-05	0	0	9.66614e-05	3.50179e-05	6.84682e-05	5.57596e-05	0.000111581	0	9.7707e-05	1.17812e-05	2.63537e-05	0	0.000181759	2.70217e-05	0	1.44185e-05	0
GLUCONEO-PWY: gluconeogenesis I	0.000177432	0.000167846	0.000209934	0.000270862	8.26567e-05	0.000242094	6.96681e-05	0	0	0.000222588	0.00020123	0.000228804	5.29286e-05	0.000288299	0.000109529	9.6302e-05	8.43781e-05	0.000164341	0.000189985	0.000217752	0.00029966	0.000129399	1.10442e-05	0.000136258	0	3.06237e-05	0.000124185	2.12432e-05	0	0.000135219	0.000175376	0	0.000170996	0.000108966	0	0	0.000255591	0.000218703	0	0.00012708	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0.000291447	0	0.000199118	4.57303e-05	0.000148807	0	0	0	0.000382731	0.000313977	0.00020699	0.000435403	0.000415053	0	0	0	0	0	0	0.000314713	9.72664e-05	0	0	0	0	0	0	0	9.66209e-05	0	0	0.000111239	0	0	0	0.00014198	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0.00013405	0.000143372	0.000149838	0.000101913	1.80791e-05	3.81026e-05	6.75106e-05	0	0	0	0	0.000107777	0	5.42702e-05	0	3.29957e-05	4.98622e-05	7.32241e-05	6.10259e-05	8.84106e-05	0.000146503	3.60898e-05	9.19118e-06	0.000122484	0	6.20566e-05	3.49805e-05	0	2.04827e-05	3.55974e-05	0	0	6.39506e-05	6.20574e-05	0	0	0	9.19216e-05	0	2.94382e-05	0
GLUDEG-I-PWY: GABA shunt	1.56615e-05	0	0	1.68648e-05	2.14574e-05	1.92861e-05	0	0	0	0	0	1.59121e-05	0	7.58462e-05	1.27159e-05	6.38287e-06	0	0	0	1.69054e-05	3.51123e-05	1.17619e-05	0	0	0	0	0	0	0	3.59471e-05	4.99672e-06	0	0	0	0	0	0	0	0	0	0
GLUTORN-PWY: L-ornithine biosynthesis I	0.000464955	0.000521869	0.000215641	0.000354743	0.000441256	0.000247685	0.000176298	0.000286061	0	0.000409894	0.000369911	0.000392714	0.000606834	0.000411765	0.000213544	0.000164997	0.00034438	0.000311096	0.000300798	0.000369339	0.0003299	0.000295603	0.000182867	0.000463906	0.00034502	0.000630653	0.000391873	0.000326002	0.000315957	0.000242182	0.000299252	0	0.000292486	0.000525513	0.000171882	0	0.00023745	0.000264025	0	0.000295656	0
GLYCOCAT-PWY: glycogen degradation I	0.000126321	3.3698e-05	6.41788e-05	0.000150741	0.000125813	5.35793e-05	2.56133e-05	0	0	0	0	0.000115414	0.000207388	0.000223647	0	0	0	8.56638e-06	0	8.02012e-05	0.000194246	1.04803e-05	0	0	0	0	0.000164593	0	0.000172638	2.27558e-05	0	0	0	8.08978e-05	0	0	0.000208957	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.000447005	0.000486755	0.000136739	0.000381405	0.00016278	0.000224677	0.000160137	0.000180306	0	0.000281151	0.000236938	0.000331727	0.000206518	0.000445002	0.000285815	0.00022299	0.00054161	0.000414091	0.000337548	0.000422204	0.000508978	0.000315476	0.000789516	0.000572887	0.000247468	0.000387363	0.000497617	0.000790981	0.000254159	0.000216929	0.000555332	0.000407882	0.00032643	0.000310616	0.000460667	0.000461861	0.00024519	0.000330055	4.20579e-05	0.000370711	0
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	8.77515e-06	0	3.03707e-06	5.21499e-06	0	0	0	0	0	0	0	0	6.82768e-06	0	0	0	0	0	0	3.22112e-05	8.32401e-06	0	0	0	0	0	0	0	0	0	0	4.50626e-07	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.000116917	0.000152734	0.000143292	0.00013705	2.88912e-05	0.000106024	5.38524e-05	0	0	5.38168e-05	0.00012941	0.000177163	0	0.000203492	3.09786e-05	5.0386e-05	0	0.000120456	0	0.000145609	0.000199207	5.01608e-05	0	6.48413e-05	0	0	8.58058e-05	2.57134e-05	0	4.53446e-05	6.26913e-05	0	7.40238e-05	0	0	0	0.000208154	0.000163604	0	6.14423e-05	0
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0	6.66545e-05	0	4.95036e-06	3.27124e-06	5.18173e-06	0	0	0	0	0	5.91896e-06	0	0.000177744	0	0	0	0	0	0	0.000139743	0	0	0	0	0	0	0	0	3.71587e-05	0	0	0	0	0	0	0.000158256	0	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.000167729	0.000226422	0.000221634	0.000284082	5.65421e-05	0.000279622	0.000246662	0	0	7.1953e-05	0.00019338	0.000318287	6.01662e-05	0.000297758	0.000113857	0.000119218	7.7259e-05	0.000178447	0.000187087	0.000291438	0.000296674	9.0196e-05	7.98876e-06	0.000193858	0	0	0.000303585	3.70198e-05	0.000346383	0.000169939	0.000139117	0	0.000259157	0.000190945	0	4.45526e-05	0.000259412	0.000220486	0	0.000100679	0
GLYOXYLATE-BYPASS: glyoxylate cycle	0	7.83477e-05	0	2.25086e-05	2.13165e-05	2.93815e-05	0	0	0	2.10686e-05	6.94069e-05	4.85206e-05	0	0.000192012	0	0	0	5.51586e-06	0	0	0.000124505	1.01459e-05	0	0	0	0	0	0	0	4.64817e-05	0	0	4.39374e-06	0	0	0	0.00010788	0	0	0	0
